Output for File: data/Communities and Crime Normalized/communities.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  
x45:  -0.18 -0.05 -0.41 -0.06 -0.02  0.26 -0.35  0.43 -0.45 -0.01  0.18 -0.13  0.07 -0.05  0.06  0.25 -0.02 -0.54 -0.30 -0.16 -0.63  0.07  0.51 -0.08 -0.54 -0.40 -0.30 -0.30 -0.07 -0.23 -0.18 -0.31  0.30  0.43  0.28  0.38 -0.42  0.40 -0.19  0.01 -0.23  0.35 -0.42  0.92  0.08  1.00  0.98 -0.13 -0.75 -0.73 -0.67 -0.69  0.15  0.05  0.29  0.52  0.15  0.14  0.21  0.24  0.29  0.07  0.09  0.09  0.10 -0.04  0.13  0.13  0.04 -0.30 -0.38  0.10 -0.62  0.30  0.57 -0.42  0.32 -0.32 -0.58  0.33 -0.12 -0.01  0.52  0.25 -0.32 -0.31 -0.29 -0.30 -0.35 -0.37 -0.37  0.16 -0.04 -0.11  0.24  0.22  0.00 -0.12 -0.38 -0.01 -0.08  0.17  0.21  0.25  0.22  0.20  0.25  0.27  0.21  0.22  0.23  0.27  0.16  0.15  0.26  0.19  0.27  0.22  0.14  0.17 -0.06  0.24  0.18  0.24  0.24  0.25  0.20  0.28 
x46:  -0.15 -0.03 -0.38 -0.07 -0.02  0.25 -0.41  0.43 -0.41 -0.07  0.12 -0.17  0.03 -0.08  0.13  0.24 -0.04 -0.56 -0.35 -0.17 -0.62  0.13  0.50 -0.03 -0.57 -0.41 -0.32 -0.32 -0.08 -0.23 -0.19 -0.32  0.30  0.43  0.28  0.40 -0.45  0.40 -0.22  0.03 -0.25  0.37 -0.45  0.98  0.05  0.98  1.00 -0.19 -0.76 -0.74 -0.69 -0.69  0.17  0.08  0.29  0.52  0.12  0.11  0.17  0.20  0.25  0.01  0.03  0.03  0.04  0.02  0.07  0.08 -0.02 -0.36 -0.43  0.04 -0.60  0.24  0.58 -0.42  0.32 -0.36 -0.56  0.34 -0.07 -0.05  0.53  0.25 -0.36 -0.35 -0.33 -0.33 -0.39 -0.41 -0.40  0.13 -0.09 -0.07  0.24  0.22 -0.06 -0.08 -0.34  0.02 -0.05  0.17  0.22  0.25  0.23  0.20  0.25  0.26  0.22  0.22  0.23  0.26  0.14  0.13  0.25  0.19  0.26  0.21  0.14  0.13 -0.07  0.24  0.18  0.24  0.23  0.25  0.20  0.27 
x47:  -0.06 -0.08 -0.05  0.04  0.03  0.09  0.85  0.05 -0.40  0.21  0.61  0.30  0.21  0.06 -0.57  0.09  0.05  0.11  0.37  0.10 -0.34 -0.41  0.30 -0.38 -0.01 -0.21 -0.18  0.03  0.00 -0.07  0.00 -0.12  0.11  0.13  0.33  0.27 -0.21  0.31  0.13  0.11 -0.24  0.21 -0.22 -0.25  0.07 -0.13 -0.19  1.00  0.11  0.04  0.04  0.13 -0.26 -0.34  0.12  0.18  0.23 -0.03  0.01  0.04  0.10  0.34  0.36  0.38  0.40 -0.55  0.57  0.85  0.90  0.93  0.89  0.77  0.04  0.66 -0.20  0.13 -0.04  0.19  0.09  0.23  0.00  0.14  0.11  0.27  0.07  0.06  0.03  0.09  0.10  0.11  0.11  0.09  0.27  0.01  0.04  0.06  0.40  0.03  0.08  0.15  0.16  0.05 -0.03  0.02 -0.03  0.06 -0.02  0.04 -0.03 -0.02 -0.03  0.07  0.17  0.06  0.15  0.04  0.02  0.05  0.03  0.16  0.07  0.02  0.06  0.02  0.02  0.01 -0.02  0.12 
x48:   0.08 -0.04  0.24  0.08  0.03 -0.27  0.28 -0.70  0.64  0.15 -0.14 -0.14 -0.26 -0.23 -0.26 -0.25  0.10  0.73  0.55  0.18  0.70 -0.33 -0.74 -0.01  0.71  0.57  0.43  0.46  0.16  0.29  0.29  0.42 -0.39 -0.74 -0.51 -0.62  0.46 -0.65  0.54 -0.02 -0.02 -0.47  0.50 -0.73 -0.41 -0.75 -0.76  0.11  1.00  0.99  0.94  0.92 -0.11  0.00 -0.42 -0.84 -0.15 -0.23 -0.28 -0.29 -0.30 -0.07 -0.08 -0.07 -0.07  0.05 -0.14 -0.22 -0.10  0.35  0.42 -0.07  0.73 -0.31 -0.66  0.50 -0.34  0.38  0.69 -0.51 -0.11  0.28 -0.68 -0.43  0.46  0.44  0.42  0.51  0.52  0.52  0.53 -0.36  0.14 -0.14 -0.31 -0.23  0.03 -0.08  0.21 -0.07 -0.02 -0.24 -0.32 -0.30 -0.33 -0.24 -0.32 -0.28 -0.32 -0.24 -0.26 -0.40 -0.16 -0.10 -0.35 -0.26 -0.31 -0.26 -0.08 -0.26 -0.08 -0.27 -0.23 -0.29 -0.23 -0.31 -0.27 -0.35 
x49:   0.11 -0.03  0.26  0.07  0.03 -0.27  0.21 -0.74  0.70  0.13 -0.21 -0.15 -0.25 -0.22 -0.24 -0.26  0.10  0.72  0.54  0.17  0.74 -0.32 -0.76  0.00  0.71  0.59  0.43  0.46  0.16  0.29  0.28  0.43 -0.40 -0.76 -0.57 -0.68  0.49 -0.68  0.55 -0.03  0.02 -0.50  0.53 -0.71 -0.39 -0.73 -0.74  0.04  0.99  1.00  0.93  0.91 -0.09  0.04 -0.43 -0.87 -0.18 -0.22 -0.27 -0.28 -0.31 -0.10 -0.11 -0.11 -0.11  0.11 -0.20 -0.30 -0.18  0.27  0.36 -0.16  0.71 -0.38 -0.63  0.48 -0.35  0.39  0.65 -0.54 -0.13  0.25 -0.71 -0.47  0.45  0.43  0.41  0.51  0.51  0.50  0.51 -0.37  0.11 -0.14 -0.31 -0.23 -0.01 -0.07  0.19 -0.09 -0.04 -0.24 -0.33 -0.31 -0.34 -0.25 -0.33 -0.29 -0.33 -0.24 -0.26 -0.41 -0.18 -0.11 -0.37 -0.27 -0.32 -0.26 -0.10 -0.25 -0.07 -0.28 -0.23 -0.29 -0.23 -0.31 -0.28 -0.38 
x50:   0.05 -0.04  0.23  0.09  0.05 -0.23  0.20 -0.66  0.60  0.19 -0.14 -0.17 -0.21 -0.20 -0.24 -0.20  0.18  0.72  0.56  0.13  0.71 -0.34 -0.78 -0.01  0.71  0.60  0.47  0.48  0.18  0.29  0.31  0.44 -0.36 -0.76 -0.55 -0.65  0.50 -0.69  0.57 -0.08  0.02 -0.53  0.54 -0.67 -0.31 -0.67 -0.69  0.04  0.94  0.93  1.00  0.84 -0.06  0.06 -0.38 -0.81 -0.11 -0.19 -0.22 -0.23 -0.25 -0.01 -0.02 -0.01 -0.01  0.04 -0.13 -0.24 -0.14  0.26  0.34 -0.13  0.65 -0.30 -0.55  0.42 -0.30  0.37  0.59 -0.51 -0.18  0.27 -0.72 -0.45  0.50  0.48  0.46  0.57  0.57  0.56  0.57 -0.33  0.18 -0.14 -0.27 -0.18  0.08 -0.14  0.16 -0.11 -0.06 -0.21 -0.28 -0.26 -0.29 -0.21 -0.29 -0.24 -0.29 -0.21 -0.23 -0.36 -0.14 -0.06 -0.32 -0.23 -0.27 -0.23 -0.08 -0.16  0.00 -0.24 -0.19 -0.25 -0.20 -0.27 -0.23 -0.34 
x51:   0.09 -0.03  0.22  0.06  0.02 -0.26  0.27 -0.69  0.61  0.11 -0.11 -0.12 -0.25 -0.23 -0.20 -0.25  0.04  0.63  0.46  0.17  0.61 -0.25 -0.63  0.03  0.60  0.47  0.33  0.38  0.12  0.26  0.24  0.34 -0.37 -0.66 -0.42 -0.51  0.34 -0.55  0.44  0.03 -0.06 -0.35  0.39 -0.66 -0.41 -0.69 -0.69  0.13  0.92  0.91  0.84  1.00 -0.11 -0.02 -0.40 -0.80 -0.14 -0.24 -0.28 -0.29 -0.31 -0.08 -0.09 -0.08 -0.08  0.04 -0.11 -0.18 -0.06  0.34  0.40 -0.04  0.68 -0.27 -0.59  0.45 -0.34  0.35  0.64 -0.46 -0.08  0.23 -0.59 -0.37  0.37  0.35  0.33  0.42  0.42  0.42  0.43 -0.34  0.07 -0.14 -0.30 -0.21  0.02 -0.04  0.23 -0.02  0.03 -0.24 -0.33 -0.31 -0.35 -0.24 -0.33 -0.28 -0.33 -0.25 -0.27 -0.40 -0.16 -0.10 -0.35 -0.26 -0.32 -0.26 -0.09 -0.25 -0.11 -0.27 -0.22 -0.30 -0.22 -0.31 -0.28 -0.34 
x52:   0.02  0.04 -0.04 -0.01  0.02 -0.04 -0.23  0.17  0.01 -0.16 -0.28 -0.01  0.08  0.06  0.01 -0.04 -0.07 -0.15  0.10  0.06 -0.03 -0.02 -0.20 -0.07 -0.13 -0.13 -0.12 -0.12 -0.05 -0.14 -0.03 -0.09 -0.07 -0.10 -0.09 -0.07 -0.06 -0.21  0.25  0.09  0.01  0.09 -0.09  0.18  0.02  0.15  0.17 -0.26 -0.11 -0.09 -0.06 -0.11  1.00  0.90 -0.05  0.04 -0.11  0.02  0.02  0.03  0.03 -0.23 -0.22 -0.22 -0.22  0.31 -0.27 -0.26 -0.27 -0.26 -0.21 -0.23 -0.02 -0.21  0.06 -0.04 -0.02  0.02 -0.05 -0.10 -0.08  0.08 -0.02 -0.08 -0.22 -0.23 -0.23 -0.15 -0.18 -0.20 -0.18 -0.19 -0.16 -0.06 -0.05 -0.04 -0.27  0.12 -0.10 -0.05  0.00 -0.04 -0.04 -0.03 -0.04 -0.04 -0.02 -0.02 -0.04 -0.03 -0.02  0.00 -0.10 -0.04 -0.05 -0.03 -0.02 -0.05  0.01 -0.12 -0.18 -0.02 -0.05 -0.03 -0.01 -0.02 -0.04 -0.05 
x53:   0.06  0.07  0.06 -0.02  0.01 -0.09 -0.27  0.08  0.16 -0.18 -0.40 -0.05  0.03  0.03  0.02 -0.09 -0.06 -0.04  0.16  0.04  0.13 -0.03 -0.35  0.00 -0.02 -0.04 -0.05 -0.06  0.00 -0.10  0.02 -0.02 -0.15 -0.25 -0.23 -0.21  0.01 -0.35  0.35  0.08  0.03 -0.01 -0.01  0.10 -0.01  0.05  0.08 -0.34  0.00  0.04  0.06 -0.02  0.90  1.00 -0.12 -0.08 -0.18 -0.02 -0.03 -0.03 -0.04 -0.31 -0.31 -0.30 -0.31  0.41 -0.39 -0.39 -0.40 -0.31 -0.24 -0.34  0.08 -0.37 -0.03  0.02 -0.07  0.06  0.03 -0.19 -0.09  0.10 -0.15 -0.19 -0.15 -0.17 -0.18 -0.06 -0.09 -0.10 -0.08 -0.21 -0.13 -0.01 -0.09 -0.09 -0.34  0.12 -0.07 -0.08 -0.02 -0.08 -0.07 -0.08 -0.07 -0.08 -0.07 -0.07 -0.07 -0.07 -0.05 -0.05 -0.16 -0.07 -0.12 -0.07 -0.07 -0.10 -0.01 -0.19 -0.18 -0.07 -0.09 -0.08 -0.06 -0.07 -0.08 -0.13 
x54:  -0.06  0.07 -0.04 -0.02 -0.01  0.89 -0.03  0.40 -0.42  0.07  0.14  0.03  0.13  0.08 -0.05  0.88  0.17 -0.18 -0.10 -0.14 -0.25 -0.04  0.32 -0.09 -0.19 -0.13 -0.01 -0.11 -0.03 -0.10 -0.07 -0.12  0.94  0.28  0.15  0.20 -0.09  0.27 -0.12 -0.07  0.03  0.08 -0.10  0.27  0.30  0.29  0.29  0.12 -0.42 -0.43 -0.38 -0.40 -0.05 -0.12  1.00  0.52  0.65  0.13  0.15  0.17  0.19  0.16  0.16  0.17  0.17 -0.14  0.18  0.24  0.16 -0.03 -0.01  0.06 -0.30  0.23  0.25 -0.21  0.82 -0.13 -0.30  0.45  0.02 -0.15  0.18  0.21 -0.09 -0.07 -0.05 -0.10 -0.09 -0.08 -0.10  0.16  0.04  0.06  0.82  0.63  0.13 -0.04 -0.05  0.08 -0.02  0.82  0.44  0.41  0.46  0.80  0.48  0.48  0.44  0.42  0.40  0.64  0.37  0.23  0.62  0.75  0.56  0.48  0.57  0.27  0.33  0.80  0.81  0.46  0.39  0.41  0.41  0.20 
x55:  -0.12  0.07 -0.15 -0.04 -0.01  0.33  0.02  0.81 -0.80 -0.05  0.24  0.19  0.30  0.24  0.01  0.32  0.01 -0.49 -0.29 -0.18 -0.63  0.10  0.67 -0.15 -0.50 -0.43 -0.26 -0.33 -0.11 -0.22 -0.19 -0.31  0.45  0.64  0.50  0.57 -0.32  0.59 -0.37  0.05  0.00  0.40 -0.38  0.48  0.49  0.52  0.52  0.18 -0.84 -0.87 -0.81 -0.80  0.04 -0.08  0.52  1.00  0.25  0.24  0.29  0.31  0.34  0.21  0.22  0.22  0.22 -0.19  0.27  0.41  0.31 -0.04 -0.10  0.24 -0.62  0.43  0.48 -0.36  0.35 -0.24 -0.58  0.55  0.10 -0.21  0.56  0.43 -0.27 -0.25 -0.24 -0.33 -0.31 -0.30 -0.31  0.36  0.04  0.20  0.35  0.27  0.13  0.04 -0.14  0.08  0.00  0.31  0.36  0.34  0.37  0.31  0.36  0.32  0.36  0.25  0.28  0.49  0.21  0.12  0.44  0.34  0.36  0.29  0.14  0.32  0.22  0.33  0.29  0.33  0.25  0.35  0.31  0.41 
x56:  -0.18 -0.03 -0.08  0.01  0.01  0.74  0.11  0.08 -0.31  0.38  0.38 -0.01  0.11  0.05 -0.11  0.74  0.20 -0.01  0.04 -0.12 -0.13 -0.15  0.18 -0.14 -0.02  0.00  0.07  0.03  0.01 -0.04 -0.01 -0.06  0.71  0.10  0.16  0.12  0.00  0.14  0.01 -0.04 -0.07  0.00 -0.03  0.09  0.25  0.15  0.12  0.23 -0.15 -0.18 -0.11 -0.14 -0.11 -0.18  0.65  0.25  1.00  0.12  0.15  0.19  0.23  0.49  0.50  0.51  0.52 -0.45  0.47  0.35  0.30  0.12  0.14  0.18 -0.27  0.43  0.27 -0.22  0.58  0.01 -0.26  0.14 -0.17 -0.05  0.00  0.18  0.19  0.20  0.21  0.16  0.15  0.17  0.13  0.19  0.25 -0.07  0.68  0.66  0.50 -0.25 -0.10  0.00 -0.10  0.66  0.31  0.35  0.33  0.71  0.39  0.46  0.31  0.41  0.33  0.28  0.57  0.45  0.51  0.63  0.47  0.46  0.43  0.40  0.31  0.62  0.74  0.39  0.34  0.34  0.36  0.13 
x57:  -0.06 -0.02 -0.18 -0.06 -0.03  0.14  0.03  0.17 -0.24  0.19  0.09  0.38  0.48  0.48 -0.18  0.13 -0.04 -0.18  0.06  0.09 -0.14 -0.20  0.11 -0.29 -0.12 -0.10 -0.05 -0.12 -0.06 -0.18 -0.07 -0.15  0.17  0.32  0.04  0.00  0.19  0.08 -0.06 -0.13  0.25 -0.03  0.07  0.07  0.45  0.14  0.11 -0.03 -0.23 -0.22 -0.19 -0.24  0.02 -0.02  0.13  0.24  0.12  1.00  0.90  0.83  0.75  0.41  0.36  0.32  0.29 -0.08  0.14  0.10  0.06 -0.12 -0.10  0.04 -0.43  0.19  0.28 -0.27  0.12 -0.03 -0.43  0.03 -0.18  0.03  0.15  0.09 -0.03 -0.01  0.00 -0.05 -0.07 -0.06 -0.09  0.23 -0.01 -0.09  0.13  0.10  0.14 -0.17 -0.43 -0.38 -0.33  0.08  0.10  0.15  0.11  0.09  0.10  0.13  0.10  0.12  0.14  0.13  0.06  0.10  0.12  0.09  0.15  0.12  0.04  0.15  0.08  0.10  0.08  0.14  0.13  0.13  0.09  0.11 
x58:  -0.10 -0.03 -0.21 -0.05 -0.02  0.16  0.05  0.19 -0.30  0.23  0.14  0.38  0.50  0.49 -0.20  0.15 -0.02 -0.20  0.06  0.08 -0.20 -0.21  0.15 -0.33 -0.15 -0.13 -0.06 -0.13 -0.06 -0.22 -0.09 -0.18  0.18  0.34  0.10  0.05  0.15  0.11 -0.05 -0.11  0.20  0.01  0.03  0.12  0.46  0.21  0.17  0.01 -0.28 -0.27 -0.22 -0.28  0.02 -0.03  0.15  0.29  0.15  0.90  1.00  0.94  0.87  0.45  0.43  0.39  0.36 -0.13  0.20  0.16  0.11 -0.09 -0.09  0.11 -0.48  0.26  0.33 -0.31  0.14 -0.05 -0.47  0.04 -0.22  0.06  0.19  0.11 -0.03 -0.01  0.00 -0.04 -0.06 -0.06 -0.08  0.25  0.03 -0.09  0.15  0.12  0.20 -0.20 -0.47 -0.39 -0.34  0.09  0.11  0.16  0.12  0.10  0.12  0.15  0.11  0.13  0.15  0.13  0.07  0.11  0.13  0.10  0.17  0.14  0.05  0.18  0.09  0.11  0.10  0.15  0.14  0.15  0.11  0.13 
x59:  -0.11 -0.03 -0.24 -0.05 -0.02  0.18  0.07  0.23 -0.36  0.29  0.18  0.36  0.50  0.47 -0.24  0.17  0.01 -0.18  0.10  0.09 -0.22 -0.26  0.15 -0.38 -0.14 -0.12 -0.04 -0.11 -0.05 -0.21 -0.08 -0.19  0.20  0.34  0.10  0.05  0.15  0.10 -0.02 -0.11  0.16  0.00  0.03  0.15  0.46  0.24  0.20  0.04 -0.29 -0.28 -0.23 -0.29  0.03 -0.03  0.17  0.31  0.19  0.83  0.94  1.00  0.94  0.48  0.47  0.45  0.42 -0.17  0.24  0.19  0.14 -0.06 -0.07  0.15 -0.50  0.31  0.34 -0.33  0.16 -0.06 -0.49  0.06 -0.24  0.10  0.20  0.12 -0.01  0.01  0.03  0.00 -0.03 -0.03 -0.06  0.24  0.07 -0.11  0.16  0.14  0.24 -0.23 -0.49 -0.40 -0.34  0.11  0.12  0.18  0.13  0.12  0.14  0.17  0.12  0.14  0.17  0.15  0.09  0.14  0.15  0.12  0.19  0.16  0.07  0.21  0.11  0.13  0.12  0.17  0.16  0.17  0.13  0.14 
x60:  -0.11 -0.04 -0.28 -0.04 -0.02  0.21  0.10  0.25 -0.42  0.32  0.26  0.34  0.49  0.44 -0.26  0.20  0.02 -0.20  0.11  0.10 -0.28 -0.28  0.18 -0.42 -0.17 -0.15 -0.06 -0.12 -0.05 -0.22 -0.08 -0.23  0.22  0.36  0.16  0.10  0.10  0.13 -0.01 -0.11  0.10  0.03 -0.02  0.19  0.43  0.29  0.25  0.10 -0.30 -0.31 -0.25 -0.31  0.03 -0.04  0.19  0.34  0.23  0.75  0.87  0.94  1.00  0.50  0.50  0.48  0.47 -0.24  0.31  0.26  0.20 -0.01 -0.04  0.21 -0.52  0.39  0.37 -0.34  0.18 -0.08 -0.50  0.08 -0.25  0.13  0.25  0.16 -0.02  0.00  0.01 -0.01 -0.04 -0.04 -0.06  0.24  0.10 -0.12  0.18  0.17  0.29 -0.24 -0.51 -0.38 -0.32  0.12  0.13  0.19  0.14  0.14  0.14  0.19  0.13  0.15  0.17  0.15  0.13  0.15  0.17  0.13  0.20  0.17  0.08  0.23  0.10  0.15  0.13  0.19  0.18  0.18  0.13  0.16 
x61:  -0.31 -0.10 -0.12  0.00 -0.01  0.20  0.28 -0.04 -0.40  0.65  0.63  0.07  0.25  0.18 -0.21  0.21  0.23  0.11  0.15 -0.08 -0.10 -0.26  0.16 -0.29  0.10  0.10  0.16  0.12  0.06  0.00  0.05 -0.01  0.18  0.10  0.22  0.12  0.14  0.15  0.04 -0.08 -0.03 -0.06  0.06 -0.06  0.41  0.07  0.01  0.34 -0.07 -0.10 -0.01 -0.08 -0.23 -0.31  0.16  0.21  0.49  0.41  0.45  0.48  0.50  1.00  0.99  0.98  0.97 -0.78  0.80  0.52  0.49  0.26  0.25  0.37 -0.41  0.68  0.39 -0.34  0.11  0.10 -0.38 -0.03 -0.34 -0.03 -0.07  0.17  0.44  0.45  0.45  0.40  0.39  0.39  0.34  0.34  0.46 -0.08  0.18  0.22  0.91 -0.49 -0.24 -0.16 -0.26  0.13  0.14  0.20  0.16  0.15  0.15  0.20  0.14  0.19  0.17  0.08  0.29  0.27  0.22  0.15  0.20  0.24 -0.03  0.61  0.39  0.11  0.17  0.22  0.16  0.19  0.19  0.14 
x62:  -0.32 -0.10 -0.12  0.01 -0.01  0.20  0.29 -0.03 -0.42  0.65  0.65  0.05  0.24  0.15 -0.21  0.22  0.23  0.11  0.15 -0.09 -0.12 -0.25  0.18 -0.29  0.09  0.09  0.15  0.12  0.06 -0.01  0.05 -0.02  0.18  0.10  0.24  0.15  0.11  0.16  0.04 -0.07 -0.07 -0.04  0.03 -0.04  0.39  0.09  0.03  0.36 -0.08 -0.11 -0.02 -0.09 -0.22 -0.31  0.16  0.22  0.50  0.36  0.43  0.47  0.50  0.99  1.00  0.99  0.99 -0.80  0.82  0.55  0.51  0.28  0.26  0.40 -0.41  0.71  0.40 -0.34  0.11  0.09 -0.38 -0.03 -0.34 -0.02 -0.06  0.18  0.44  0.45  0.44  0.40  0.39  0.39  0.35  0.34  0.48 -0.08  0.18  0.23  0.93 -0.49 -0.23 -0.14 -0.24  0.13  0.15  0.21  0.16  0.16  0.16  0.20  0.15  0.19  0.17  0.08  0.30  0.27  0.22  0.15  0.21  0.25 -0.03  0.61  0.38  0.11  0.17  0.22  0.16  0.19  0.20  0.15 
x63:  -0.33 -0.10 -0.12  0.01 -0.01  0.21  0.30 -0.02 -0.44  0.68  0.66  0.04  0.21  0.13 -0.21  0.22  0.25  0.13  0.16 -0.09 -0.12 -0.26  0.17 -0.29  0.11  0.10  0.16  0.14  0.07  0.00  0.06 -0.01  0.18  0.08  0.24  0.14  0.10  0.16  0.06 -0.07 -0.09 -0.05  0.03 -0.04  0.37  0.09  0.03  0.38 -0.07 -0.11 -0.01 -0.08 -0.22 -0.30  0.17  0.22  0.51  0.32  0.39  0.45  0.48  0.98  0.99  1.00  1.00 -0.81  0.83  0.56  0.52  0.30  0.28  0.41 -0.39  0.72  0.39 -0.33  0.12  0.09 -0.36 -0.02 -0.35 -0.01 -0.07  0.18  0.45  0.46  0.46  0.42  0.41  0.41  0.37  0.33  0.50 -0.08  0.18  0.23  0.95 -0.49 -0.22 -0.13 -0.22  0.14  0.15  0.21  0.16  0.16  0.16  0.21  0.15  0.19  0.18  0.08  0.30  0.28  0.23  0.15  0.21  0.25 -0.03  0.62  0.38  0.11  0.18  0.22  0.16  0.20  0.20  0.14 
x64:  -0.33 -0.10 -0.13  0.02  0.00  0.21  0.31 -0.02 -0.45  0.67  0.68  0.02  0.20  0.11 -0.21  0.23  0.25  0.12  0.16 -0.09 -0.14 -0.26  0.19 -0.29  0.10  0.09  0.15  0.14  0.06  0.00  0.05 -0.01  0.19  0.08  0.25  0.17  0.07  0.17  0.05 -0.06 -0.12 -0.03  0.01 -0.02  0.35  0.10  0.04  0.40 -0.07 -0.11 -0.01 -0.08 -0.22 -0.31  0.17  0.22  0.52  0.29  0.36  0.42  0.47  0.97  0.99  1.00  1.00 -0.83  0.85  0.58  0.55  0.32  0.29  0.43 -0.39  0.74  0.39 -0.33  0.12  0.08 -0.35 -0.01 -0.34 -0.01 -0.06  0.20  0.44  0.45  0.44  0.41  0.40  0.40  0.36  0.32  0.50 -0.08  0.18  0.24  0.96 -0.49 -0.21 -0.11 -0.20  0.14  0.14  0.21  0.16  0.16  0.16  0.21  0.14  0.19  0.17  0.08  0.31  0.28  0.24  0.16  0.21  0.25 -0.03  0.62  0.38  0.12  0.18  0.22  0.17  0.20  0.20  0.15 
x65:   0.25  0.12  0.11 -0.02  0.00 -0.17 -0.42  0.10  0.42 -0.47 -0.89 -0.05 -0.15 -0.05  0.17 -0.18 -0.16 -0.03 -0.06  0.01  0.24  0.14 -0.32  0.24  0.02  0.05  0.01 -0.08 -0.03  0.03 -0.01  0.09 -0.18 -0.18 -0.48 -0.37  0.11 -0.34  0.08  0.05  0.19 -0.08  0.14  0.08 -0.25 -0.04  0.02 -0.55  0.05  0.11  0.04  0.04  0.31  0.41 -0.14 -0.19 -0.45 -0.08 -0.13 -0.17 -0.24 -0.78 -0.80 -0.81 -0.83  1.00 -0.94 -0.69 -0.68 -0.46 -0.42 -0.54  0.30 -0.81 -0.33  0.30 -0.10  0.00  0.26 -0.10  0.18  0.03 -0.10 -0.32 -0.31 -0.31 -0.30 -0.26 -0.26 -0.27 -0.23 -0.29 -0.45  0.00 -0.13 -0.18 -0.88  0.33  0.05 -0.06  0.03 -0.11 -0.12 -0.17 -0.13 -0.13 -0.13 -0.17 -0.12 -0.17 -0.13 -0.05 -0.38 -0.19 -0.24 -0.12 -0.16 -0.21  0.02 -0.52 -0.26 -0.10 -0.14 -0.19 -0.12 -0.16 -0.15 -0.14 
x66:  -0.24 -0.11 -0.15  0.02  0.00  0.18  0.42 -0.05 -0.45  0.39  0.89  0.08  0.18  0.07 -0.16  0.19  0.13 -0.08  0.01 -0.01 -0.35 -0.12  0.41 -0.25 -0.14 -0.16 -0.11  0.00  0.00 -0.08 -0.06 -0.18  0.21  0.26  0.56  0.46 -0.20  0.41 -0.12  0.01 -0.24  0.20 -0.24  0.01  0.25  0.13  0.07  0.57 -0.14 -0.20 -0.13 -0.11 -0.27 -0.39  0.18  0.27  0.47  0.14  0.20  0.24  0.31  0.80  0.82  0.83  0.85 -0.94  1.00  0.75  0.72  0.46  0.40  0.58 -0.37  0.88  0.39 -0.34  0.11  0.00 -0.32  0.14 -0.20 -0.02  0.17  0.38  0.20  0.21  0.20  0.16  0.16  0.16  0.12  0.30  0.40 -0.04  0.16  0.21  0.85 -0.30 -0.09  0.06 -0.02  0.13  0.12  0.18  0.14  0.16  0.14  0.19  0.12  0.16  0.13  0.08  0.37  0.22  0.26  0.14  0.18  0.22 -0.02  0.53  0.22  0.11  0.16  0.19  0.13  0.18  0.16  0.17 
x67:  -0.16 -0.09 -0.19  0.02  0.01  0.19  0.66  0.19 -0.59  0.24  0.76  0.27  0.26  0.13 -0.30  0.19  0.06 -0.16  0.04  0.05 -0.51 -0.16  0.52 -0.27 -0.25 -0.35 -0.27 -0.14 -0.05 -0.15 -0.10 -0.26  0.25  0.38  0.51  0.48 -0.32  0.52 -0.17  0.02 -0.21  0.30 -0.36  0.02  0.24  0.13  0.08  0.85 -0.22 -0.30 -0.24 -0.18 -0.26 -0.39  0.24  0.41  0.35  0.10  0.16  0.19  0.26  0.52  0.55  0.56  0.58 -0.69  0.75  1.00  0.98  0.70  0.62  0.77 -0.27  0.87  0.20 -0.17  0.11 -0.01 -0.20  0.33 -0.05  0.03  0.30  0.40  0.00  0.00 -0.01 -0.01 -0.01  0.00 -0.02  0.29  0.29 -0.03  0.17  0.18  0.55 -0.10 -0.05  0.13  0.09  0.14  0.10  0.13  0.10  0.15  0.12  0.16  0.10  0.09  0.07  0.17  0.27  0.16  0.27  0.14  0.14  0.17  0.03  0.35  0.13  0.12  0.15  0.14  0.12  0.13  0.11  0.24 
