Output for File: data/Communities and Crime Unnormalized/CommViolPredUnnormalizedData.txt
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  x138  x139  x140  x141  x142  x143  x144  x145  x146  
{ Function 362: X65 = 96.41815941 + -3.30645670 X61 + -1.38149922 X73, SSR = 1.18E05 }
{ Function 363: X10 = -1.35608397 + 2.25200238 X73, SSR = 1.19E05 }
{ Function 364: X7 = 86.73619677 + -0.54333302 X8 + -0.42070093 X51, SSR = 1.22E05 }
{ Function 365: X7 = 85.05891883 + -0.54027678 X8 + -0.40982754 X48, SSR = 1.23E05 }
{ Function 366: X72 = 55.55175147 + 0.49640177 X48 + -0.57141692 X74, SSR = 1.30E05 }
{ Function 367: X72 = 64.17344971 + 0.40851015 X49 + -0.59246450 X74, SSR = 1.33E05 }
{ Function 368: X59 = 11.02723071 + 1.22115369 X57, SSR = 1.41E05 }
{ Function 369: X60 = 11.42042702 + 1.14162742 X58, SSR = 1.46E05 }
{ Function 370: X7 = -2.22981373 + 3.71205890 X55, SSR = 1.51E05 }
{ Function 371: X8 = 94.18607913 + -0.71582768 X7 + -0.02168053 X134, SSR = 1.61E05 }
{ Function 372: X78 = 99.73396373 + -0.80091163 X74, SSR = 1.62E05 }
{ Function 373: X7 = 71.72019619 + -0.87585987 X49, SSR = 2.03E05 }
{ Function 374: X8 = 97.13906414 + -4.22380019 X55, SSR = 2.10E05 }
{ Function 375: X8 = 46.95763422 + 0.58703455 X49 + -0.02947397 X134, SSR = 2.35E05 }
{ Function 376: X60 = 17.75487259 + 1.25531869 X57, SSR = 2.56E05 }
{ Function 377: X111 = 1.43099533 + 8.64971407 X118, SSR = 2.68E05 }
{ Function 378: X99 = -89.71439171 + 1.71661356 X102, SSR = 2.75E05 }
{ Function 379: X125 = 1.47697592 + 8.80106095 X118, SSR = 2.79E05 }
{ Function 380: X112 = 1.37328772 + 8.35353760 X118, SSR = 2.90E05 }
{ Function 381: X129 = -0.52754311 + 0.00387235 X54, SSR = 3.24E05 }
{ Function 382: X117 = 0.20894994 + 0.13827919 X97 + 0.04864980 X123, SSR = 3.33E05 }
{ Function 383: X117 = -0.53483873 + 0.06878982 X96, SSR = 3.41E05 }
{ Function 384: X129 = -3.18483369 + 0.00144248 X32, SSR = 3.53E05 }
{ Function 385: X129 = -1.18303892 + 0.01734099 X141, SSR = 4.32E05 }
{ Function 386: X125 = 2.76556203 + 0.08695604 X109 + 0.19927451 X119, SSR = 4.70E05 }
{ Function 387: X117 = -0.21986465 + 0.05550591 X103, SSR = 4.75E05 }
{ Function 388: X111 = 2.81971770 + 0.08302080 X109 + 0.19994396 X119, SSR = 4.93E05 }
{ Function 389: X117 = 0.07337680 + 0.01680720 X133, SSR = 5.10E05 }
{ Function 390: X125 = 2.99862100 + 0.25485334 X119 + 5.91030432 X127, SSR = 5.19E05 }
{ Function 391: X117 = -0.09064396 + 0.06212779 X105, SSR = 5.22E05 }
{ Function 392: X111 = 3.05627479 + 0.25394155 X119 + 5.61092484 X127, SSR = 5.42E05 }
{ Function 393: X112 = 2.85767198 + 0.07874436 X109 + 0.19163637 X119, SSR = 5.43E05 }
{ Function 394: X112 = 2.96792114 + 0.23526348 X119 + 5.58115060 X127, SSR = 5.53E05 }
{ Function 395: X129 = 1.46557939 + 0.08148776 X103, SSR = 5.90E05 }
{ Function 396: X129 = -6.72018333 + 0.00027269 X5, SSR = 5.97E05 }
{ Function 397: X129 = 1.87590153 + 0.02475937 X133, SSR = 6.18E05 }
{ Function 398: X129 = -5.16530088 + 0.00027087 X15, SSR = 6.23E05 }
{ Function 399: X117 = -1.34040098 + 0.00252696 X54, SSR = 6.25E05 }
{ Function 400: X129 = 1.63012824 + 0.09158488 X105, SSR = 6.35E05 }
{ Function 401: X117 = -5.54083584 + 0.00018095 X5, SSR = 6.42E05 }
{ Function 402: X129 = -5.83064898 + 0.01788389 X137, SSR = 6.43E05 }
{ Function 403: X117 = -4.50757547 + 0.00017971 X15, SSR = 6.54E05 }
{ Function 404: X117 = -0.09836876 + 0.00066418 X56, SSR = 6.77E05 }
{ Function 405: X117 = -3.02554758 + 0.00093487 X32, SSR = 6.79E05 }
{ Function 406: X117 = -1.72408468 + 0.01123071 X141, SSR = 7.16E05 }
{ Function 407: X117 = 0.03433601 + 0.00000081 X124, SSR = 7.41E05 }
{ Function 408: X117 = -0.74511361 + 0.62023528 X129, SSR = 7.95E05 }
{ Function 409: X129 = -1.23262682 + 0.02771746 X135, SSR = 8.07E05 }
{ Function 410: X106 = 0.31394296 + 0.84716057 X104, SSR = 8.10E05 }
{ Function 411: X106 = 0.31369440 + 0.84715806 X110, SSR = 8.10E05 }
{ Function 412: X129 = 1.69402744 + 0.00000122 X124, SSR = 8.51E05 }
{ Function 413: X129 = -0.50281003 + 0.12021073 X97 + 0.21325272 X123, SSR = 9.13E05 }
{ Function 414: X129 = -7.49933678 + 0.00715036 X139, SSR = 9.60E05 }
{ Function 415: X117 = -4.42437992 + 0.01117495 X137, SSR = 1.00E06 }
{ Function 416: X117 = -0.60075617 + 0.00011952 X107, SSR = 1.09E06 }
{ Function 417: X104 = 0.61009519 + 1.15037770 X106, SSR = 1.10E06 }
{ Function 418: X110 = 0.61040947 + 1.15038052 X106, SSR = 1.10E06 }
{ Function 419: X117 = -1.50813618 + 0.01718674 X135, SSR = 1.11E06 }
{ Function 420: X117 = -5.46267520 + 0.00446592 X139, SSR = 1.13E06 }
{ Function 421: X129 = 0.46808590 + 0.00018668 X107, SSR = 1.18E06 }
{ Function 422: X90 = 11.39204231 + 0.00013700 X87 + 0.96075885 X89 + 0.48854102 X91, SSR = 1.18E06 }
{ Function 423: X129 = -6.25599704 + 0.00801935 X76, SSR = 1.47E06 }
{ Function 424: X129 = -0.99193945 + 0.29545677 X143, SSR = 1.47E06 }
{ Function 425: X117 = -3.85637194 + 0.31194130 X131, SSR = 1.48E06 }
{ Function 426: X129 = 1.60403583 + 0.09201535 X96, SSR = 1.52E06 }
{ Function 427: X129 = 1.88644765 + 0.00093645 X56, SSR = 1.53E06 }
{ Function 428: X117 = -1.14107762 + 0.17585436 X143, SSR = 1.54E06 }
{ Function 429: X117 = -4.25731743 + 0.00476341 X76, SSR = 1.55E06 }
{ Function 430: X92 = 81.90806507 + 0.97904746 X89, SSR = 1.60E06 }
{ Function 431: X129 = 2.62080588 + 1.26360375 X117, SSR = 1.62E06 }
{ Function 432: X89 = -70.78108523 + 0.99571649 X92, SSR = 1.62E06 }
{ Function 433: X90 = -52.59922921 + 0.00033660 X87 + 0.40476059 X91 + 0.95906544 X92, SSR = 2.07E06 }
{ Function 434: X129 = -4.38725883 + 0.47818896 X131, SSR = 2.34E06 }
{ Function 435: X89 = -13.82047996 + 0.83898598 X90, SSR = 2.62E06 }
{ Function 436: X106 = 4.64490892 + 0.00117757 X128, SSR = 2.82E06 }
{ Function 437: X105 = -1.44869492 + 0.88524958 X103, SSR = 2.92E06 }
{ Function 438: X92 = 64.20445778 + 0.82932113 X90, SSR = 2.96E06 }
{ Function 439: X119 = 0.28314939 + 1.34608664 X125, SSR = 2.98E06 }
{ Function 440: X119 = 0.40264256 + 1.36274348 X111, SSR = 3.03E06 }
{ Function 441: X119 = 0.99084468 + 1.36598858 X112, SSR = 3.21E06 }
{ Function 442: X88 = -18.38636938 + 0.81288841 X89, SSR = 3.37E06 }
{ Function 443: X119 = 2.01072164 + 12.03784774 X118, SSR = 3.38E06 }
{ Function 444: X103 = 1.90659149 + 1.12559244 X105, SSR = 3.71E06 }
{ Function 445: X89 = 25.69525753 + 0.00400967 X26 + 1.01953068 X88, SSR = 3.96E06 }
{ Function 446: X104 = 5.71347058 + 0.00136475 X128, SSR = 4.26E06 }
{ Function 447: X110 = 5.71382886 + 0.00136475 X128, SSR = 4.26E06 }
{ Function 448: X131 = 3.40251559 + 0.02895285 X137, SSR = 4.58E06 }
{ Function 449: X88 = -74.41797195 + 0.80640416 X92, SSR = 4.75E06 }
{ Function 450: X131 = 0.42371246 + 0.01170587 X139, SSR = 5.02E06 }
{ Function 451: X131 = 2.54675370 + 0.00043047 X5, SSR = 5.35E06 }
{ Function 452: X131 = 4.96917093 + 0.00042827 X15, SSR = 5.36E06 }
{ Function 453: X131 = 10.27969047 + 0.12744490 X97 + 0.44779214 X123, SSR = 5.57E06 }
{ Function 454: X131 = 11.59166023 + 0.02678522 X141, SSR = 5.68E06 }
{ Function 455: X92 = 108.57657426 + 0.00390375 X26 + 0.99468734 X88, SSR = 5.82E06 }
{ Function 456: X131 = 2.12575534 + 0.01331921 X76, SSR = 5.91E06 }
{ Function 457: X131 = 10.90893307 + 0.48936317 X143, SSR = 6.01E06 }
{ Function 458: X106 = 4.96512849 + 0.00148180 X108, SSR = 6.09E06 }
{ Function 459: X131 = 8.85063435 + 0.00218184 X32, SSR = 6.20E06 }
{ Function 460: X91 = 23.37357619 + 0.32984680 X90, SSR = 6.51E06 }
{ Function 461: X88 = -23.37357619 + 0.67015320 X90, SSR = 6.51E06 }
{ Function 462: X131 = 14.24747306 + 1.43792355 X129, SSR = 7.04E06 }
{ Function 463: X131 = 13.99763836 + 0.00029205 X107, SSR = 7.08E06 }
{ Function 464: X123 = -6.12428853 + 0.01993068 X76, SSR = 7.47E06 }
{ Function 465: X123 = -2.87960469 + 0.04156966 X137, SSR = 7.68E06 }
{ Function 466: X123 = -7.52283346 + 0.01697857 X139, SSR = 7.85E06 }
{ Function 467: X91 = 108.16902760 + 0.00061326 X86, SSR = 7.91E06 }
{ Function 468: X131 = 13.65752663 + 0.00548940 X54, SSR = 8.12E06 }
{ Function 469: X131 = 16.52014537 + 0.11503506 X103, SSR = 8.77E06 }
{ Function 470: X131 = 12.54227706 + 0.03964849 X135, SSR = 8.85E06 }
{ Function 471: X131 = 17.13386476 + 0.03480749 X133, SSR = 8.94E06 }
{ Function 472: X131 = 16.12639446 + 0.13869696 X96, SSR = 8.96E06 }
{ Function 473: X131 = 16.80430264 + 0.12851470 X105, SSR = 9.03E06 }
{ Function 474: X131 = 17.63313713 + 1.91101267 X117, SSR = 9.10E06 }
{ Function 475: X131 = 16.62387771 + 0.00140009 X56, SSR = 9.20E06 }
{ Function 476: X110 = 6.37721173 + 0.00170169 X108, SSR = 9.28E06 }
{ Function 477: X104 = 6.37694753 + 0.00170168 X108, SSR = 9.28E06 }
{ Function 478: X131 = 17.19388999 + 0.00000165 X124, SSR = 1.04E07 }
{ Function 479: X123 = 9.04292378 + 0.03813808 X141, SSR = 1.05E07 }
{ Function 480: X123 = 4.78392637 + 0.00315353 X32, SSR = 1.06E07 }
{ Function 481: X123 = 11.77606284 + 0.00043356 X107, SSR = 1.06E07 }
{ Function 482: X123 = -0.01089926 + 0.00060193 X15, SSR = 1.08E07 }
{ Function 483: X123 = -3.38327015 + 0.00060441 X5, SSR = 1.08E07 }
{ Function 484: X143 = 7.52918128 + 0.00056565 X107, SSR = 1.10E07 }
{ Function 485: X123 = 12.48264826 + 2.09139683 X129, SSR = 1.19E07 }
{ Function 486: X143 = 4.20511348 + 0.04928908 X141, SSR = 1.19E07 }
{ Function 487: X143 = -1.03550179 + 0.00404084 X32, SSR = 1.30E07 }
{ Function 488: X123 = 15.25738168 + 0.17417959 X103, SSR = 1.31E07 }
{ Function 489: X143 = -11.56402813 + 0.00077567 X5, SSR = 1.32E07 }
{ Function 490: X123 = 9.20553860 + 0.06012216 X135, SSR = 1.32E07 }
{ Function 491: X143 = -7.16142431 + 0.00077091 X15, SSR = 1.33E07 }
{ Function 492: X123 = 15.55113557 + 0.00000264 X124, SSR = 1.34E07 }
{ Function 493: X123 = -1.19104465 + 1.17708902 X131, SSR = 1.35E07 }
{ Function 494: X143 = 8.51641918 + 2.72016580 X129, SSR = 1.35E07 }
{ Function 495: X123 = 15.66962571 + 0.19485859 X105, SSR = 1.36E07 }
{ Function 496: X97 = -9.76839911 + 0.41210506 X96, SSR = 1.37E07 }
{ Function 497: X123 = 8.91082739 + 0.66843647 X143, SSR = 1.39E07 }
{ Function 498: X123 = 11.55798580 + 0.00801520 X54, SSR = 1.40E07 }
{ Function 499: X89 = 228.07731562 + 0.00226008 X84, SSR = 1.42E07 }
{ Function 500: X97 = -5.34884624 + 5.69221409 X117, SSR = 1.43E07 }
{ Function 501: X90 = 202.35618538 + 0.00199032 X84 + 0.75202076 X91, SSR = 1.44E07 }
{ Function 502: X143 = -8.67745336 + 0.05040132 X137, SSR = 1.46E07 }
{ Function 503: X90 = 53.61652567 + 0.00784375 X17 + 0.00090320 X87 + 0.79036112 X91, SSR = 1.48E07 }
{ Function 504: X88 = 172.42928001 + 0.00177615 X84, SSR = 1.50E07 }
{ Function 505: X89 = 222.75917950 + 0.00181947 X85, SSR = 1.53E07 }
{ Function 506: X90 = 200.45254646 + 0.00161288 X85 + 0.73186770 X91, SSR = 1.54E07 }
{ Function 507: X143 = -13.82968071 + 0.02036207 X139, SSR = 1.60E07 }
{ Function 508: X88 = 169.37803204 + 0.00141991 X85, SSR = 1.61E07 }
{ Function 509: X88 = 36.17245383 + 0.00864490 X17, SSR = 1.62E07 }
{ Function 510: X90 = 32.49678300 + 0.00712219 X24 + 0.00078008 X87 + 0.84504943 X91, SSR = 1.66E07 }
{ Function 511: X89 = 212.81994724 + 0.00148445 X86, SSR = 1.67E07 }
{ Function 512: X143 = 3.71874699 + 0.24770020 X97 + 0.74870745 X123, SSR = 1.68E07 }
{ Function 513: X92 = 308.45230555 + 0.00217614 X84, SSR = 1.68E07 }
{ Function 514: X88 = 162.12779615 + 0.00115497 X86, SSR = 1.70E07 }
{ Function 515: X143 = 4.57108938 + 0.07722097 X135, SSR = 1.71E07 }
{ Function 516: X143 = 7.36695909 + 0.01040010 X54, SSR = 1.73E07 }
{ Function 517: X123 = 16.96846049 + 0.04941643 X133, SSR = 1.73E07 }
{ Function 518: X88 = 13.22017117 + 0.00794706 X24, SSR = 1.76E07 }
{ Function 519: X97 = -8.06575051 + 0.00412428 X56, SSR = 1.77E07 }
{ Function 520: X92 = 137.77561972 + 0.01070160 X17, SSR = 1.77E07 }
{ Function 521: X92 = 303.31376645 + 0.00175205 X85, SSR = 1.78E07 }
{ Function 522: X97 = -6.29546057 + 0.10140624 X133, SSR = 1.81E07 }
{ Function 523: X89 = 62.43403122 + 0.01077259 X17, SSR = 1.82E07 }
{ Function 524: X143 = 12.49405800 + 0.00273110 X56, SSR = 1.82E07 }
{ Function 525: X143 = -8.43763345 + 1.49829199 X131, SSR = 1.84E07 }
{ Function 526: X92 = 293.06065409 + 0.00143413 X86, SSR = 1.88E07 }
{ Function 527: X143 = 13.78443724 + 0.06665478 X133, SSR = 1.92E07 }
{ Function 528: X123 = 16.68058070 + 0.00191824 X56, SSR = 1.97E07 }
{ Function 529: X143 = -10.45232138 + 0.02293008 X76, SSR = 1.97E07 }
{ Function 530: X89 = 30.98426708 + 0.00997447 X24, SSR = 1.98E07 }
{ Function 531: X143 = 13.24429668 + 0.24474201 X105, SSR = 2.00E07 }
{ Function 532: X90 = 270.29682374 + 0.00176823 X86, SSR = 2.00E07 }
{ Function 533: X92 = 110.42651596 + 0.00981106 X24, SSR = 2.02E07 }
{ Function 534: X143 = 12.93570993 + 0.21606309 X103, SSR = 2.05E07 }
{ Function 535: X123 = 16.42660645 + 0.18363924 X96, SSR = 2.09E07 }
{ Function 536: X90 = 78.38485464 + 0.01283480 X25 + 0.00073464 X87 + 1.04925007 X91, SSR = 2.14E07 }
{ Function 537: X134 = -72.25150186 + 26.22389886 X55 + 0.20060534 X142 + 0.10963315 X145, SSR = 2.14E07 }
{ Function 538: X123 = 18.49695129 + 2.51172817 X117, SSR = 2.15E07 }
{ Function 539: X88 = 73.97673065 + 0.01640590 X25, SSR = 2.25E07 }
{ Function 540: X143 = 13.85352612 + 0.00000317 X124, SSR = 2.41E07 }
{ Function 541: X134 = 269.18399968 + -3.30746385 X8 + 0.20407986 X142 + 0.14052235 X145, SSR = 2.58E07 }
{ Function 542: X97 = -39.35893312 + 0.00107652 X5, SSR = 2.60E07 }
{ Function 543: X105 = 0.72198395 + 0.00001330 X124, SSR = 2.63E07 }
{ Function 544: X103 = 2.32525509 + 0.00001505 X124, SSR = 2.64E07 }
{ Function 545: X97 = -6.95816702 + 0.32058017 X103, SSR = 2.66E07 }
{ Function 546: X97 = -33.16694571 + 0.00106820 X15, SSR = 2.66E07 }
{ Function 547: X89 = 104.28867672 + 0.02078047 X25, SSR = 2.68E07 }
{ Function 548: X92 = 185.68871217 + 0.02023758 X25, SSR = 2.77E07 }
{ Function 549: X97 = -6.20246048 + 0.35868550 X105, SSR = 2.82E07 }
{ Function 550: X97 = -16.71247221 + 0.06693107 X141, SSR = 2.82E07 }
{ Function 551: X143 = 16.21035572 + 3.29844317 X117, SSR = 2.90E07 }
{ Function 552: X97 = -6.11348582 + 0.00000480 X124, SSR = 3.02E07 }
{ Function 553: X97 = -13.63058410 + 0.01468842 X54, SSR = 3.03E07 }
{ Function 554: X97 = -23.71813140 + 0.00547259 X32, SSR = 3.07E07 }
{ Function 555: X143 = 14.02950297 + 0.23312330 X96, SSR = 3.07E07 }
{ Function 556: X109 = 0.17382246 + 5.99713321 X125, SSR = 3.14E07 }
{ Function 557: X105 = -19.82939468 + 0.04053980 X54, SSR = 3.18E07 }
{ Function 558: X109 = 1.46957097 + 6.01368598 X111, SSR = 3.38E07 }
{ Function 559: X103 = -20.78953969 + 0.04580702 X54, SSR = 3.63E07 }
{ Function 560: X97 = -10.08659166 + 3.59444157 X129, SSR = 3.66E07 }
{ Function 561: X97 = -16.27654965 + 0.10504865 X135, SSR = 3.74E07 }
{ Function 562: X109 = 4.22083874 + 6.01583095 X112, SSR = 3.76E07 }
{ Function 563: X109 = 7.71720971 + 53.74377662 X118, SSR = 3.89E07 }
{ Function 564: X97 = -31.88350295 + 0.06538621 X137, SSR = 4.19E07 }
{ Function 565: X97 = -38.29550552 + 0.02628851 X139, SSR = 4.51E07 }
{ Function 566: X97 = -8.90550889 + 0.00068386 X107, SSR = 4.87E07 }
{ Function 567: X105 = -46.24187927 + 0.01491600 X32, SSR = 5.41E07 }
{ Function 568: X105 = 4.97240000 + 0.26072011 X133, SSR = 5.53E07 }
{ Function 569: X109 = 26.96714819 + 55.21844940 X127, SSR = 5.60E07 }
{ Function 570: X96 = 12.24771238 + 1.90000719 X97 + 0.72561551 X123, SSR = 5.90E07 }
{ Function 571: X97 = -12.80746271 + 1.03350490 X143, SSR = 5.97E07 }
{ Function 572: X103 = -50.88112718 + 0.01688659 X32, SSR = 6.10E07 }
{ Function 573: X97 = -27.15531284 + 1.76993761 X131, SSR = 6.28E07 }
{ Function 574: X97 = -29.58613633 + 0.02711648 X76, SSR = 6.45E07 }
{ Function 575: X103 = 7.19043674 + 0.29478079 X133, SSR = 6.50E07 }
{ Function 576: X105 = -84.30391969 + 0.00284814 X5, SSR = 6.53E07 }
{ Function 577: X96 = 13.26644983 + 13.18806850 X117, SSR = 6.54E07 }
{ Function 578: X105 = -68.05822571 + 0.00282900 X15, SSR = 6.82E07 }
{ Function 579: X105 = -10.60760421 + 9.99266488 X129, SSR = 6.93E07 }
{ Function 580: X103 = -93.86672016 + 0.00322243 X5, SSR = 7.66E07 }
{ Function 581: X103 = -75.49495284 + 0.00320097 X15, SSR = 8.02E07 }
{ Function 582: X103 = -10.47736228 + 11.30486409 X129, SSR = 8.19E07 }
{ Function 583: X105 = -24.27125999 + 0.17685239 X141, SSR = 8.32E07 }
{ Function 584: X105 = -13.17360815 + 1.48120020 X97 + 1.87163016 X123, SSR = 8.50E07 }
{ Function 585: X96 = 7.25956512 + 0.77221237 X103, SSR = 8.52E07 }
{ Function 586: X96 = 11.15435816 + 0.23460326 X133, SSR = 8.79E07 }
{ Function 587: X96 = 8.94468114 + 0.86601916 X105, SSR = 9.19E07 }
{ Function 588: X103 = -26.28449486 + 0.20075277 X141, SSR = 9.32E07 }
{ Function 589: X103 = -13.80923080 + 1.68291483 X97 + 2.12786513 X123, SSR = 9.34E07 }
{ Function 590: X96 = -68.34018091 + 0.00254704 X5, SSR = 1.04E08 }
{ Function 591: X96 = -53.78070000 + 0.00252927 X15, SSR = 1.06E08 }
{ Function 592: X105 = -0.24555974 + 1.00411265 X96, SSR = 1.07E08 }
{ Function 593: X96 = -8.58778385 + 0.03527627 X54, SSR = 1.10E08 }
{ Function 594: X96 = 9.58688096 + 0.00001151 X124, SSR = 1.12E08 }
{ Function 595: X105 = -10.10084778 + 0.00197218 X107, SSR = 1.13E08 }
{ Function 596: X105 = -25.29079731 + 0.28425988 X135, SSR = 1.14E08 }
{ Function 597: X105 = 10.76389306 + 13.81013384 X117, SSR = 1.16E08 }
{ Function 598: X105 = -70.23996150 + 0.18050802 X137, SSR = 1.20E08 }
{ Function 599: X96 = -32.01621806 + 0.01303802 X32, SSR = 1.22E08 }
{ Function 600: X96 = -14.26601921 + 0.15740437 X141, SSR = 1.23E08 }
{ Function 601: X103 = 1.08047074 + 1.13843210 X96, SSR = 1.26E08 }
{ Function 602: X105 = -89.19046430 + 0.07315841 X139, SSR = 1.34E08 }
{ Function 603: X103 = 13.43864662 + 15.68796692 X117, SSR = 1.34E08 }
{ Function 604: X136 = 61.01061866 + 0.59357547 X145, SSR = 1.35E08 }
{ Function 605: X103 = -78.62912317 + 0.20511760 X137, SSR = 1.38E08 }
{ Function 606: X146 = -100.69886971 + 202.37460940 X4, SSR = 1.42E08 }
{ Function 607: X103 = -26.90680711 + 0.32102749 X135, SSR = 1.43E08 }
{ Function 608: X96 = -0.28102663 + 8.65890307 X129, SSR = 1.43E08 }
{ Function 609: X0 = -32.96334364 + 182.81502105 X4, SSR = 1.44E08 }
{ Function 610: X96 = 9.96131361 + 0.00907913 X56, SSR = 1.44E08 }
{ Function 611: X103 = -9.24238936 + 0.00221423 X107, SSR = 1.52E08 }
{ Function 612: X103 = -99.81087706 + 0.08296741 X139, SSR = 1.60E08 }
{ Function 613: X96 = -54.17314778 + 0.15933401 X137, SSR = 1.61E08 }
{ Function 614: X105 = 5.63344691 + 0.00977333 X56, SSR = 1.68E08 }
{ Function 615: X145 = 54.09888174 + 1.09950073 X134 + 0.79165567 X136, SSR = 1.68E08 }
{ Function 616: X96 = -71.27284354 + 0.06475108 X139, SSR = 1.69E08 }
{ Function 617: X96 = -13.37715877 + 0.24746689 X135, SSR = 1.72E08 }
{ Function 618: X105 = -76.59170113 + 0.08211940 X76, SSR = 1.86E08 }
{ Function 619: X103 = 7.88412252 + 0.01105868 X56, SSR = 2.08E08 }
{ Function 620: X0 = 187.64484855 + 0.77514605 X146, SSR = 2.19E08 }
{ Function 621: X142 = 200.22404638 + 1.68020804 X134, SSR = 2.20E08 }
{ Function 622: X96 = 3.18079932 + 0.00163161 X107, SSR = 2.23E08 }
{ Function 623: X103 = -84.71639548 + 0.09266859 X76, SSR = 2.35E08 }
{ Function 624: X105 = -18.97986775 + 2.90044490 X143, SSR = 2.37E08 }
{ Function 625: X96 = -53.87899870 + 0.06911156 X76, SSR = 2.58E08 }
{ Function 626: X146 = 122.26624310 + 0.91504326 X0, SSR = 2.59E08 }
{ Function 627: X96 = -43.34842188 + 4.34043516 X131, SSR = 2.81E08 }
{ Function 628: X103 = -19.19142257 + 3.25575800 X143, SSR = 3.08E08 }
{ Function 629: X96 = -3.66762075 + 2.38279582 X143, SSR = 3.13E08 }
{ Function 630: X105 = -51.51821808 + 4.66309320 X131, SSR = 3.28E08 }
{ Function 631: X103 = -57.56794545 + 5.30721809 X131, SSR = 4.05E08 }
{ Function 632: X133 = -81.95019975 + 0.14933785 X54, SSR = 5.52E08 }
{ Function 633: X135 = 123.15367059 + 0.84701518 X133, SSR = 6.57E08 }
{ Function 634: X137 = -99.83404471 + 0.40287918 X139, SSR = 6.76E08 }
{ Function 635: X133 = -7.97885745 + 3.18002143 X103, SSR = 7.02E08 }
{ Function 636: X141 = -101.78266323 + 0.08138419 X32, SSR = 7.52E08 }
{ Function 637: X133 = -1.70044265 + 3.57619217 X105, SSR = 7.58E08 }
{ Function 638: X133 = -2.26641131 + 0.00004819 X124, SSR = 8.23E08 }
{ Function 639: X133 = -116.46530849 + 1.09148858 X135, SSR = 8.46E08 }
{ Function 640: X133 = -178.68957504 + 0.05487318 X32, SSR = 8.82E08 }
{ Function 641: X141 = -312.93832046 + 0.01560547 X5, SSR = 8.97E08 }
{ Function 642: X133 = -49.87715109 + 37.05470607 X129, SSR = 9.25E08 }
{ Function 643: X135 = 74.65853198 + 32.19061292 X129, SSR = 9.37E08 }
{ Function 644: X141 = -224.40444344 + 0.01551066 X15, SSR = 9.55E08 }
{ Function 645: X133 = -17.56093336 + 6.71316209 X97 + 4.72648959 X123, SSR = 9.60E08 }
{ Function 646: X133 = -103.05707735 + 0.66067160 X141, SSR = 9.65E08 }
{ Function 647: X135 = 52.27758694 + 0.12717462 X54, SSR = 9.70E08 }
{ Function 648: X135 = -35.25448957 + 0.04740788 X32, SSR = 9.90E08 }
{ Function 649: X135 = 28.96542720 + 0.57296599 X141, SSR = 9.94E08 }
{ Function 650: X133 = -319.78651760 + 0.01049797 X5, SSR = 9.94E08 }
{ Function 651: X135 = -130.75773127 + 0.59900809 X137, SSR = 1.02E09 }
{ Function 652: X135 = -158.79170336 + 0.00910056 X5, SSR = 1.02E09 }
{ Function 653: X133 = -259.74784855 + 0.01042412 X15, SSR = 1.04E09 }
{ Function 654: X135 = -107.00976720 + 0.00904209 X15, SSR = 1.05E09 }
{ Function 655: X135 = 118.56445396 + 0.00004135 X124, SSR = 1.05E09 }
{ Function 656: X135 = -193.41185225 + 0.24266422 X139, SSR = 1.18E09 }
{ Function 657: X135 = 116.86293283 + 2.68747907 X103, SSR = 1.19E09 }
{ Function 658: X135 = 121.93664087 + 3.02575583 X105, SSR = 1.22E09 }
{ Function 659: X137 = 281.62874559 + 0.92748803 X141, SSR = 1.22E09 }
{ Function 660: X137 = 178.08863826 + 0.07668667 X32, SSR = 1.24E09 }
{ Function 661: X137 = -23.25554412 + 0.01474946 X5, SSR = 1.24E09 }
{ Function 662: X135 = 51.57397959 + 4.21268288 X97 + 6.89206256 X123, SSR = 1.24E09 }
{ Function 663: X137 = 59.94737315 + 0.01466979 X15, SSR = 1.27E09 }
{ Function 664: X141 = -256.98828062 + 1.01680491 X137, SSR = 1.34E09 }
{ Function 665: X141 = 94.07310094 + 54.33758250 X129, SSR = 1.36E09 }
{ Function 666: X133 = -0.82245963 + 0.03802083 X56, SSR = 1.38E09 }
{ Function 667: X133 = -11.96458618 + 3.73108629 X96, SSR = 1.40E09 }
{ Function 668: X141 = 50.07237241 + 7.30202511 X97 + 11.69048627 X123, SSR = 1.54E09 }
{ Function 669: X133 = 29.23138941 + 51.24525590 X117, SSR = 1.56E09 }
{ Function 670: X141 = 57.58923020 + 0.21406533 X54, SSR = 1.57E09 }
{ Function 671: X133 = -271.67617087 + 0.67024064 X137, SSR = 1.59E09 }
